customer_id,first_purchase,last_purchase,purchase_lines,unique_invoices,total_quantity,total_spend,avg_unit_price,countries,distinct_products,days_active,primary_country,return_count,return_value,customer_tenure_days,net_spend,avg_basket_size,avg_order_value,return_rate,first_purchase_month,country_group,spend_quartile,frequency_segment,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment
12358,2009-12-08 07:59:00,2010-11-29 10:56:00,57,3,826,2519.01,3.791754385964912,1,51,3,Austria,0,0.0,356,2519.01,19.0,839.6700000000001,0.0,2009-12,EU,Q4 (Highest),Occasional (2-3),10,3,2519.01,4,3,4,434,Champions
12359,2009-12-05 13:32:00,2010-10-10 11:16:00,117,6,1130,2563.36,4.732393162393163,1,110,6,Cyprus,4,-94.0,308,2469.36,19.5,427.2266666666667,0.6666666666666666,2009-12,EU,Q4 (Highest),Regular (4-10),60,6,2563.36,2,4,4,244,High Value
12360,2010-02-22 09:32:00,2010-11-12 11:31:00,85,3,1287,1310.83,1.3908235294117648,1,73,3,Austria,0,0.0,263,1310.83,28.333333333333332,436.9433333333333,0.0,2010-02,EU,Q3,Occasional (2-3),27,3,1310.83,3,3,3,333,Champions
12361,2010-01-26 14:37:00,2010-09-03 15:19:00,16,3,141,276.35,2.11875,1,13,3,Belgium,0,0.0,220,276.35,5.333333333333333,92.11666666666667,0.0,2010-01,EU,Q1 (Lowest),Occasional (2-3),97,3,276.35,2,3,1,231,Frequent Buyers
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,3,1,296,500.24,1.6900000000000002,1,3,1,Cyprus,0,0.0,0,500.24,3.0,500.24,0.0,2010-03,EU,Q2,One-time,268,1,500.24,1,1,2,112,At Risk
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,18,1,330,917.6999999999999,4.391666666666667,1,18,1,Cyprus,0,0.0,0,917.6999999999999,18.0,917.6999999999999,0.0,2010-03,EU,Q3,One-time,263,1,917.6999999999999,1,1,3,113,At Risk
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,90,3,1234,1511.15,1.9205555555555556,1,89,3,Austria,0,0.0,228,1511.15,30.0,503.7166666666667,0.0,2010-03,EU,Q3,Occasional (2-3),48,3,1511.15,3,3,3,333,Champions
12370,2010-02-09 09:41:00,2010-03-25 12:10:00,32,3,246,534.62,3.26125,1,32,2,Austria,0,0.0,44,534.62,10.666666666666666,178.20666666666668,0.0,2010-02,EU,Q2,Occasional (2-3),259,3,534.62,1,3,2,132,Frequent Buyers
12371,2010-03-04 18:23:00,2010-10-26 13:37:00,101,3,836,1819.42,2.988613861386139,1,90,2,Switzerland,0,0.0,235,1819.42,33.666666666666664,606.4733333333334,0.0,2010-03,Other,Q4 (Highest),Occasional (2-3),44,3,1819.42,3,3,4,334,Champions
12373,2010-02-04 12:08:00,2010-03-25 13:49:00,35,2,315,603.0500000000001,2.624285714285714,1,30,2,Austria,0,0.0,49,603.0500000000001,17.5,301.52500000000003,0.0,2010-02,EU,Q2,Occasional (2-3),259,2,603.0500000000001,1,2,2,122,At Risk
12374,2010-04-30 14:01:00,2010-10-14 10:16:00,49,2,1015,2046.29,2.2340816326530613,1,46,2,Austria,0,0.0,166,2046.29,24.5,1023.145,0.0,2010-04,EU,Q4 (Highest),Occasional (2-3),56,2,2046.29,2,2,4,224,Moderate
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,11,2,237,383.15,2.2181818181818183,1,10,2,Switzerland,0,0.0,28,383.15,5.5,191.575,0.0,2010-10,Other,Q2,Occasional (2-3),24,2,383.15,3,2,2,322,Recent Customers
12377,2010-04-29 15:34:00,2010-11-23 19:24:00,74,2,1159,1718.2,2.259054054054054,1,74,2,Switzerland,0,0.0,208,1718.2,37.0,859.1,0.0,2010-04,Other,Q4 (Highest),Occasional (2-3),16,2,1718.2,4,2,4,424,Potential Loyalists
12378,2010-05-26 14:07:00,2010-05-26 14:07:00,82,1,787,1407.7,4.402073170731708,1,82,1,Switzerland,0,0.0,0,1407.7,82.0,1407.7,0.0,2010-05,Other,Q3,One-time,197,1,1407.7,1,1,3,113,At Risk
12379,2010-06-23 12:49:00,2010-10-13 14:46:00,39,2,403,692.98,2.330769230769231,1,36,2,Belgium,0,0.0,112,692.98,19.5,346.49,0.0,2010-06,EU,Q3,Occasional (2-3),57,2,692.98,2,2,3,223,Moderate
12380,2010-02-15 12:05:00,2010-08-31 14:54:00,167,4,2204,4782.84,2.938862275449102,1,117,3,Belgium,3,-35.400000000000006,197,4747.4400000000005,41.75,1195.71,0.75,2010-02,EU,Q4 (Highest),Regular (4-10),100,4,4782.84,2,3,4,234,High Value
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,64,1,594,1668.4,3.50390625,1,64,1,Belgium,0,0.0,0,1668.4,64.0,1668.4,0.0,2010-11,EU,Q3,One-time,14,1,1668.4,4,1,3,413,Potential Loyalists
12386,2010-12-08 09:53:00,2010-12-08 09:53:00,8,1,214,258.9,2.72625,1,8,1,Australia,0,0.0,0,258.9,8.0,258.9,0.0,2010-12,Other,Q1 (Lowest),One-time,1,1,258.9,4,1,1,411,Recent Customers
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,9,1,134,143.94,2.7622222222222224,1,9,1,Australia,0,0.0,0,143.94,9.0,143.94,0.0,2010-10,Other,Q1 (Lowest),One-time,50,1,143.94,3,1,1,311,Recent Customers
12388,2010-05-06 12:54:00,2010-09-20 12:41:00,46,2,539,1120.45,2.9269565217391307,1,36,2,Australia,0,0.0,136,1120.45,23.0,560.225,0.0,2010-05,Other,Q3,Occasional (2-3),80,2,1120.45,2,2,3,223,Moderate
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,49,3,614,1433.33,2.6542857142857144,1,41,3,Australia,0,0.0,253,1433.33,16.333333333333332,477.77666666666664,0.0,2010-02,Other,Q3,Occasional (2-3),37,3,1433.33,3,3,3,333,Champions
12391,2010-02-15 10:12:00,2010-09-01 12:38:00,174,5,911,2285.18,4.521896551724137,1,159,4,Cyprus,6,-25.6,198,2259.58,34.8,457.03599999999994,1.2,2010-02,EU,Q4 (Highest),Regular (4-10),99,5,2285.18,2,3,4,234,High Value
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,7,1,73,234.75000000000003,5.035714285714286,1,7,1,Australia,0,0.0,0,234.75000000000003,7.0,234.75000000000003,0.0,2010-04,Other,Q1 (Lowest),One-time,226,1,234.75000000000003,1,1,1,111,At Risk
12393,2010-10-07 13:49:00,2010-11-22 16:10:00,43,2,495,816.85,2.777906976744186,1,38,2,Australia,5,-22.7,46,794.15,21.5,408.425,2.5,2010-10,Other,Q3,Occasional (2-3),17,2,816.85,4,2,3,423,Potential Loyalists
12395,2010-04-16 10:16:00,2010-12-03 16:35:00,94,4,1604,1868.64,2.3579787234042553,1,82,4,Belgium,0,0.0,231,1868.64,23.5,467.16,0.0,2010-04,EU,Q4 (Highest),Regular (4-10),6,4,1868.64,4,3,4,434,Champions
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,65,1,591,931.43,2.2993846153846156,1,65,1,RSA,0,0.0,0,931.43,65.0,931.43,0.0,2010-02,Other,Q3,One-time,309,1,931.43,1,1,3,113,At Risk
12399,2010-03-05 08:45:00,2010-11-19 08:53:00,48,3,1017,808.65,1.1416666666666666,1,39,3,Belgium,0,0.0,259,808.65,16.0,269.55,0.0,2010-03,EU,Q3,Occasional (2-3),20,3,808.65,3,3,3,333,Champions
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,11,1,91,205.25,2.9136363636363636,1,11,1,Australia,0,0.0,0,205.25,11.0,205.25,0.0,2010-10,Other,Q1 (Lowest),One-time,49,1,205.25,3,1,1,311,Recent Customers
12402,2010-02-07 12:41:00,2010-11-12 09:50:00,54,5,484,941.3,2.225,1,39,5,Belgium,1,-12.75,277,928.55,10.8,188.26,0.2,2010-02,EU,Q3,Regular (4-10),27,5,941.3,3,3,3,333,Champions
12403,2010-07-06 11:39:00,2010-07-06 11:39:00,3,1,162,555.6600000000001,3.5100000000000002,1,3,1,Denmark,0,0.0,0,555.6600000000001,3.0,555.6600000000001,0.0,2010-07,EU,Q2,One-time,156,1,555.6600000000001,1,1,2,112,Moderate
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,1,1,63.24,63.24,1,1,1,Finland,0,0.0,0,63.24,1.0,63.24,0.0,2010-01,EU,Q1 (Lowest),One-time,317,1,63.24,1,1,1,111,At Risk
12406,2010-01-11 14:04:00,2010-11-05 11:42:00,61,3,1598,2975.06,2.603606557377049,1,44,3,Denmark,1,-183.60000000000002,297,2791.46,20.333333333333332,991.6866666666666,0.3333333333333333,2010-01,EU,Q4 (Highest),Occasional (2-3),34,3,2975.06,3,3,4,334,Champions
12408,2010-07-29 13:27:00,2010-11-19 13:21:00,51,3,809,1287.22,2.5182352941176473,1,40,3,Belgium,3,-15.149999999999999,112,1272.07,17.0,429.0733333333333,1.0,2010-07,EU,Q3,Occasional (2-3),20,3,1287.22,3,3,3,333,Champions
12409,2010-05-23 15:21:00,2010-10-15 10:24:00,155,4,7592,12346.619999999999,2.998322580645161,1,125,4,Switzerland,3,-313.08,144,12033.539999999999,38.75,3086.6549999999997,0.75,2010-05,Other,Q4 (Highest),Regular (4-10),55,4,12346.619999999999,2,3,4,234,High Value
12410,2010-07-25 13:26:00,2010-07-25 13:26:00,13,1,128,240.38,2.759230769230769,1,13,1,Switzerland,0,0.0,0,240.38,13.0,240.38,0.0,2010-07,Other,Q1 (Lowest),One-time,137,1,240.38,1,1,1,111,Moderate
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,22,1,138,346.9,3.3954545454545455,1,22,1,Australia,0,0.0,0,346.9,22.0,346.9,0.0,2010-10,Other,Q2,One-time,44,1,346.9,3,1,2,312,Recent Customers
12412,2010-06-18 13:22:00,2010-11-02 17:02:00,63,3,1162,1262.05,1.6915873015873018,1,49,3,Denmark,4,-15.9,137,1246.1499999999999,21.0,420.68333333333334,1.3333333333333333,2010-06,EU,Q3,Occasional (2-3),37,3,1262.05,3,3,3,333,Champions
12413,2010-11-02 13:26:00,2010-11-02 13:26:00,12,1,31,185.35,7.558333333333333,1,12,1,Spain,0,0.0,0,185.35,12.0,185.35,0.0,2010-11,EU,Q1 (Lowest),One-time,37,1,185.35,3,1,1,311,Recent Customers
12414,2010-09-02 12:22:00,2010-09-02 12:22:00,7,1,192,90.0,0.5057142857142857,1,7,1,Austria,7,-90.0,0,0.0,7.0,90.0,7.0,2010-09,EU,Q1 (Lowest),One-time,98,1,90.0,2,1,1,211,Moderate
12415,2010-06-30 08:30:00,2010-11-29 15:07:00,209,4,14070,19468.84,2.7608612440191385,1,168,4,Australia,0,0.0,152,19468.84,52.25,4867.21,0.0,2010-06,Other,Q4 (Highest),Regular (4-10),10,4,19468.84,4,3,4,434,Champions
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,11,1,132,202.56,1.5345454545454544,1,11,1,Australia,0,0.0,0,202.56,11.0,202.56,0.0,2010-02,Other,Q1 (Lowest),One-time,291,1,202.56,1,1,1,111,At Risk
12417,2009-12-06 10:30:00,2010-10-25 14:27:00,167,11,1308,2772.31,4.918742514970059,2,143,11,Belgium,4,-38.4,323,2733.91,15.181818181818182,252.02818181818182,0.36363636363636365,2009-12,EU,Q4 (Highest),Loyal (11+),45,11,2772.31,3,4,4,344,Champions
12418,2010-03-19 14:47:00,2010-10-22 10:29:00,68,3,681,1352.62,3.2358823529411764,1,61,3,Switzerland,1,-4.25,216,1348.37,22.666666666666668,450.8733333333333,0.3333333333333333,2010-03,Other,Q3,Occasional (2-3),48,3,1352.62,3,3,3,333,Champions
12419,2010-10-22 10:40:00,2010-11-19 10:04:00,23,2,227,391.01,3.0473913043478262,1,22,2,Spain,0,0.0,27,391.01,11.5,195.505,0.0,2010-10,EU,Q2,Occasional (2-3),20,2,391.01,3,2,2,322,Recent Customers
12421,2010-07-22 13:57:00,2010-10-20 14:28:00,18,2,166,235.56,2.817222222222222,1,17,2,Spain,1,-5.0,90,230.56,9.0,117.78,0.5,2010-07,EU,Q1 (Lowest),Occasional (2-3),50,2,235.56,3,2,1,321,Recent Customers
12422,2009-12-18 12:44:00,2010-11-10 13:19:00,124,9,2212,2955.79,2.6529838709677422,2,107,9,Switzerland,0,0.0,327,2955.79,13.777777777777779,328.4211111111111,0.0,2009-12,Other,Q4 (Highest),Regular (4-10),29,9,2955.79,3,4,4,344,Champions
12423,2010-08-31 09:31:00,2010-11-17 11:33:00,38,2,448,667.08,2.4444736842105264,2,37,2,Belgium,0,0.0,78,667.08,19.0,333.54,0.0,2010-08,EU,Q2,Occasional (2-3),22,2,667.08,3,2,2,322,Recent Customers
12424,2010-06-09 15:15:00,2010-10-13 10:29:00,62,2,1285,1579.07,1.9029032258064518,1,59,2,Australia,5,-50.25,125,1528.82,31.0,789.535,2.5,2010-06,Other,Q3,Occasional (2-3),57,2,1579.07,2,2,3,223,Moderate
12425,2010-09-17 14:10:00,2010-09-17 14:10:00,55,1,651,964.21,2.2994545454545454,1,55,1,Portugal,4,-60.6,0,903.61,55.0,964.21,4.0,2010-09,EU,Q3,One-time,83,1,964.21,2,1,3,213,Moderate
12426,2010-02-15 08:41:00,2010-02-15 08:41:00,46,1,322,690.48,2.996086956521739,1,46,1,Germany,5,-33.8,0,656.6800000000001,46.0,690.48,5.0,2010-02,EU,Q3,One-time,297,1,690.48,1,1,3,113,At Risk
12427,2010-12-03 10:44:00,2010-12-03 10:44:00,9,1,76,249.5,3.4722222222222223,1,9,1,Germany,0,0.0,0,249.5,9.0,249.5,0.0,2010-12,EU,Q1 (Lowest),One-time,6,1,249.5,4,1,1,411,Recent Customers
12429,2010-06-11 13:28:00,2010-12-09 12:05:00,75,5,1779,3591.51,2.756266666666667,1,69,3,Denmark,1,-50.4,180,3541.11,15.0,718.302,0.2,2010-06,EU,Q4 (Highest),Regular (4-10),0,5,3591.51,4,3,4,434,Champions
12431,2010-01-15 09:04:00,2010-12-01 10:03:00,167,11,1796,4145.52,3.6693413173652694,2,130,11,Belgium,3,-67.5,320,4078.0200000000004,15.181818181818182,376.8654545454546,0.2727272727272727,2010-01,EU,Q4 (Highest),Loyal (11+),8,11,4145.52,4,4,4,444,Champions
12433,2010-08-20 09:23:00,2010-12-08 16:49:00,286,5,6045,7205.39,2.0148951048951047,1,163,5,Norway,0,0.0,110,7205.39,57.2,1441.078,0.0,2010-08,Other,Q4 (Highest),Regular (4-10),1,5,7205.39,4,3,4,434,Champions
12434,2010-11-23 13:38:00,2010-11-23 13:38:00,20,1,138,297.29,3.406,1,20,1,Australia,0,0.0,0,297.29,20.0,297.29,0.0,2010-11,Other,Q1 (Lowest),One-time,16,1,297.29,4,1,1,411,Recent Customers
12435,2009-12-02 13:58:00,2010-11-08 10:07:00,76,4,2903,6096.04,2.9001315789473683,1,68,4,Denmark,0,0.0,340,6096.04,19.0,1524.01,0.0,2009-12,EU,Q4 (Highest),Regular (4-10),31,4,6096.04,3,3,4,334,Champions
12437,2009-12-02 16:24:00,2010-11-09 14:46:00,345,20,5028,6834.99,2.205449275362319,1,215,19,France,17,-215.8,341,6619.19,17.25,341.7495,0.85,2009-12,EU,Q4 (Highest),Loyal (11+),30,20,6834.99,3,4,4,344,Champions
12439,2009-12-14 08:40:00,2010-01-26 12:11:00,71,2,478,1142.88,3.706478873239437,1,69,2,Cyprus,3,-53.699999999999996,43,1089.18,35.5,571.44,1.5,2009-12,EU,Q3,Occasional (2-3),317,2,1142.88,1,2,3,123,At Risk
12440,2009-12-22 12:03:00,2010-09-03 13:11:00,30,2,328,739.2,3.1446666666666667,1,20,2,Austria,3,-91.05000000000001,255,648.1500000000001,15.0,369.6,1.5,2009-12,EU,Q3,Occasional (2-3),97,2,739.2,2,2,3,223,Moderate
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,10,1,120,155.55,2.271,1,10,1,France,0,0.0,0,155.55,10.0,155.55,0.0,2010-12,EU,Q1 (Lowest),One-time,1,1,155.55,4,1,1,411,Recent Customers
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,20,1,179,365.31,4.164,1,20,1,Norway,0,0.0,0,365.31,20.0,365.31,0.0,2009-12,Other,Q2,One-time,367,1,365.31,1,1,2,112,At Risk
12445,2010-10-15 12:28:00,2010-10-15 12:28:00,20,1,144,301.58000000000004,2.7670000000000003,1,20,1,Spain,1,-8.5,0,293.08000000000004,20.0,301.58000000000004,1.0,2010-10,EU,Q1 (Lowest),One-time,55,1,301.58000000000004,2,1,1,211,Moderate
12449,2010-09-27 09:37:00,2010-09-27 09:37:00,9,1,724,678.6,0.9922222222222222,1,9,1,Denmark,0,0.0,0,678.6,9.0,678.6,0.0,2010-09,EU,Q2,One-time,73,1,678.6,2,1,2,212,Moderate
12450,2010-08-22 13:11:00,2010-11-05 16:27:00,29,3,314,490.32,2.396206896551724,1,25,3,Spain,3,-21.25,75,469.07,9.666666666666666,163.44,1.0,2010-08,EU,Q2,Occasional (2-3),34,3,490.32,3,3,2,332,Loyal Customers
12451,2010-06-28 12:58:00,2010-09-02 15:38:00,157,3,2784,3634.36,2.273057324840764,1,147,2,Switzerland,2,-21.35,66,3613.01,52.333333333333336,1211.4533333333334,0.6666666666666666,2010-06,Other,Q4 (Highest),Occasional (2-3),98,3,3634.36,2,3,4,234,High Value
12454,2010-10-14 17:33:00,2010-11-09 10:09:00,24,3,6696,12931.44,2.8983333333333334,1,8,3,Spain,17,-8858.73,25,4072.710000000001,8.0,4310.4800000000005,5.666666666666667,2010-10,EU,Q4 (Highest),Occasional (2-3),30,3,12931.44,3,3,4,334,Champions
12455,2009-12-18 12:33:00,2010-09-20 14:39:00,135,4,1211,3383.09,4.245259259259259,1,120,4,Cyprus,0,0.0,276,3383.09,33.75,845.7725,0.0,2009-12,EU,Q4 (Highest),Regular (4-10),80,4,3383.09,2,3,4,234,High Value
12457,2010-09-30 17:59:00,2010-09-30 17:59:00,21,1,248,512.68,4.756190476190476,1,21,1,Switzerland,3,-78.14999999999999,0,434.53,21.0,512.68,3.0,2010-09,Other,Q2,One-time,70,1,512.68,2,1,2,212,Moderate
12458,2010-08-09 10:33:00,2010-10-08 11:36:00,44,2,477,715.09,2.128409090909091,1,43,2,Switzerland,0,0.0,60,715.09,22.0,357.545,0.0,2010-08,Other,Q3,Occasional (2-3),62,2,715.09,2,2,3,223,Moderate
12459,2010-04-13 14:53:00,2010-04-13 14:53:00,22,1,256,398.36,3.0645454545454545,1,22,1,Spain,0,0.0,0,398.36,22.0,398.36,0.0,2010-04,EU,Q2,One-time,240,1,398.36,1,1,2,112,At Risk
12460,2010-09-09 13:51:00,2010-09-09 13:51:00,17,1,168,296.65,3.756470588235294,1,17,1,Belgium,0,0.0,0,296.65,17.0,296.65,0.0,2010-09,EU,Q1 (Lowest),One-time,91,1,296.65,2,1,1,211,Moderate
12466,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,1,56.73,56.73,1,1,1,France,0,0.0,0,56.73,1.0,56.73,0.0,2010-01,EU,Q1 (Lowest),One-time,317,1,56.73,1,1,1,111,At Risk
12467,2010-10-12 15:41:00,2010-10-12 15:41:00,9,1,129,132.8,1.6177777777777778,1,9,1,USA,9,-132.8,0,0.0,9.0,132.8,9.0,2010-10,Other,Q1 (Lowest),One-time,58,1,132.8,2,1,1,211,Moderate
12468,2010-01-26 10:09:00,2010-07-01 10:28:00,109,3,1815,2581.2,2.0985321100917433,1,101,3,Germany,11,-40.69,156,2540.5099999999998,36.333333333333336,860.4,3.6666666666666665,2010-01,EU,Q4 (Highest),Occasional (2-3),161,3,2581.2,1,3,4,134,High Value
12469,2010-06-21 10:30:00,2010-07-05 12:40:00,76,2,2552,3070.54,2.999605263157895,1,76,2,Thailand,0,0.0,14,3070.54,38.0,1535.27,0.0,2010-06,Other,Q4 (Highest),Occasional (2-3),157,2,3070.54,1,2,4,124,Moderate
12470,2010-01-19 11:01:00,2010-01-19 11:01:00,23,1,95,211.95,3.928260869565217,1,23,1,Unspecified,0,0.0,0,211.95,23.0,211.95,0.0,2010-01,Other,Q1 (Lowest),One-time,324,1,211.95,1,1,1,111,At Risk
12471,2009-12-07 10:41:00,2010-11-30 14:35:00,650,45,8521,17752.34,2.867569230769231,1,157,26,Germany,88,-756.85,358,16995.49,14.444444444444445,394.4964444444444,1.9555555555555555,2009-12,EU,Q4 (Highest),Loyal (11+),9,45,17752.34,4,4,4,444,Champions
12472,2009-12-14 10:49:00,2010-12-05 14:19:00,559,13,7153,10426.48,2.030733452593918,1,311,13,Germany,86,-581.27,356,9845.21,43.0,802.036923076923,6.615384615384615,2009-12,EU,Q4 (Highest),Loyal (11+),4,13,10426.48,4,4,4,444,Champions
12474,2010-02-11 09:41:00,2010-11-26 12:19:00,275,11,3083,4616.66,2.4785818181818184,1,196,11,Germany,21,-198.68,288,4417.98,25.0,419.6963636363636,1.9090909090909092,2010-02,EU,Q4 (Highest),Loyal (11+),13,11,4616.66,4,4,4,444,Champions
12475,2010-10-26 08:49:00,2010-10-26 08:49:00,24,1,234,396.26,2.8266666666666667,1,24,1,Germany,0,0.0,0,396.26,24.0,396.26,0.0,2010-10,EU,Q2,One-time,44,1,396.26,3,1,2,312,Recent Customers
12476,2010-07-26 09:04:00,2010-11-07 15:34:00,274,7,3176,6421.49,3.7922627737226273,1,224,6,Germany,17,-129.95,104,6291.54,39.142857142857146,917.3557142857143,2.4285714285714284,2010-07,EU,Q4 (Highest),Regular (4-10),32,7,6421.49,3,4,4,344,Champions
12477,2010-03-26 14:01:00,2010-11-05 09:35:00,264,3,2466,7056.63,3.955378787878788,1,209,3,Germany,0,0.0,223,7056.63,88.0,2352.21,0.0,2010-03,EU,Q4 (Highest),Occasional (2-3),34,3,7056.63,3,3,4,334,Champions
12480,2010-07-20 13:21:00,2010-11-05 15:08:00,85,3,1232,1949.22,2.9192941176470586,1,78,3,Germany,3,-29.75,108,1919.47,28.333333333333332,649.74,1.0,2010-07,EU,Q4 (Highest),Occasional (2-3),34,3,1949.22,3,3,4,334,Champions
12481,2010-04-11 13:10:00,2010-12-09 10:13:00,169,5,3932,6171.07,2.5337278106508876,1,138,5,Germany,3,-138.9,241,6032.17,33.8,1234.214,0.6,2010-04,EU,Q4 (Highest),Regular (4-10),0,5,6171.07,4,3,4,434,Champions
12482,2010-02-24 10:24:00,2010-05-12 16:51:00,202,27,27040,21941.72,1.3667326732673266,1,41,5,Sweden,0,0.0,77,21941.72,7.481481481481482,812.6562962962963,0.0,2010-02,EU,Q4 (Highest),Loyal (11+),211,27,21941.72,1,4,4,144,High Value
12483,2010-01-31 13:28:00,2010-11-26 12:35:00,54,11,1037,2158.2000000000003,2.388888888888889,1,34,10,Sweden,1,-23.4,298,2134.8,4.909090909090909,196.20000000000002,0.09090909090909091,2010-01,EU,Q4 (Highest),Loyal (11+),13,11,2158.2000000000003,4,4,4,444,Champions
12484,2010-01-27 16:41:00,2010-08-13 13:45:00,126,5,1071,1617.78,2.5496825396825398,1,109,5,Spain,5,-19.85,197,1597.93,25.2,323.556,1.0,2010-01,EU,Q3,Regular (4-10),118,5,1617.78,2,3,3,233,High Value
12485,2010-06-28 15:22:00,2010-06-28 15:22:00,34,1,414,708.1,2.4105882352941173,1,34,1,Sweden,0,0.0,0,708.1,34.0,708.1,0.0,2010-06,EU,Q3,One-time,164,1,708.1,1,1,3,113,Moderate
12486,2010-10-04 12:14:00,2010-10-04 12:14:00,48,1,520,917.28,3.3558333333333334,1,48,1,Sweden,0,0.0,0,917.28,48.0,917.28,0.0,2010-10,EU,Q3,One-time,66,1,917.28,2,1,3,213,Moderate
12487,2009-12-09 11:36:00,2009-12-09 11:36:00,2,1,174,285.29999999999995,2.0,1,2,1,Sweden,1,-25.5,0,259.79999999999995,2.0,285.29999999999995,1.0,2009-12,EU,Q1 (Lowest),One-time,365,1,285.29999999999995,1,1,1,111,At Risk
12490,2009-12-01 12:52:00,2010-11-26 14:16:00,206,10,2816,3904.71,2.089757281553398,1,116,10,France,1,-5.0,360,3899.71,20.6,390.471,0.1,2009-12,EU,Q4 (Highest),Regular (4-10),13,10,3904.71,4,4,4,444,Champions
12492,2010-11-01 14:58:00,2010-11-01 14:58:00,21,1,248,380.0,2.4761904761904763,1,21,1,Germany,0,0.0,0,380.0,21.0,380.0,0.0,2010-11,EU,Q2,One-time,38,1,380.0,3,1,2,312,Recent Customers
12494,2010-05-12 13:52:00,2010-12-09 11:31:00,31,3,275,518.77,3.106129032258065,1,27,3,France,4,-22.6,210,496.16999999999996,10.333333333333334,172.92333333333332,1.3333333333333333,2010-05,EU,Q2,Occasional (2-3),0,3,518.77,4,3,2,432,Loyal Customers
