frequency_orders,purchase_lines,monetary_total_spend,total_quantity,unique_products,unique_countries,avg_unit_price,max_unit_price,recency_days,tenure_days,tenure_since_first,avg_order_value,avg_qty_per_order,is_one_time_buyer,purchase_frequency_rate,recency_to_tenure_ratio,distinct_active_days,active_months,avg_gap_days,median_gap_days,max_gap_days,return_lines,return_invoices,returned_quantity,return_value,net_spend,return_invoice_ratio,return_value_ratio,churn_label
2,25,423.49,175,25,1,4.5956,39.95,36,24,61,211.745,87.5,0,0.0327868852459016,0.5901639344262295,2,2,25.0,25.0,25.0,0.0,0.0,0.0,0.0,423.49,0.0,0.0,0
2,34,471.19,94,27,1,6.801176470588236,15.95,105,69,175,235.595,47.0,0,0.0114285714285714,0.6,2,2,70.0,70.0,70.0,0.0,0.0,0.0,0.0,471.19,0.0,0.0,1
2,22,279.15999999999997,315,22,1,1.0904545454545451,2.1,3,7,10,139.57999999999998,157.5,0,0.2,0.3,2,1,7.0,7.0,7.0,2.0,1.0,36.0,30.6,248.55999999999997,0.5,0.109614557959593,0
3,24,8673.86,7942,24,1,2.0025,10.95,6,57,63,2891.286666666667,2647.3333333333335,0,0.0476190476190476,0.0952380952380952,3,3,28.5,28.5,29.0,0.0,0.0,0.0,0.0,8673.86,0.0,0.0,0
2,12,265.12,188,12,1,3.889166666666666,14.95,107,84,192,132.56,94.0,0,0.0104166666666666,0.5572916666666666,2,2,85.0,85.0,85.0,0.0,0.0,0.0,0.0,265.12,0.0,0.0,0
1,41,590.91,409,41,1,1.9153658536585365,6.95,173,0,173,590.91,409.0,1,0.0057803468208092,1.0,1,1,173.0,173.0,173.0,0.0,0.0,0.0,0.0,590.91,0.0,0.0,0
1,1,79.9,2,1,1,39.95,39.95,20,0,20,79.9,2.0,1,0.05,1.0,1,1,20.0,20.0,20.0,0.0,0.0,0.0,0.0,79.9,0.0,0.0,1
1,3,29.1,14,3,1,2.0500000000000003,2.1,184,0,184,29.1,14.0,1,0.0054347826086956,1.0,1,1,184.0,184.0,184.0,0.0,0.0,0.0,0.0,29.1,0.0,0.0,1
2,43,1787.9,682,43,1,4.007906976744186,12.75,146,0,146,893.95,341.0,0,0.0136986301369863,1.0,1,1,146.0,146.0,146.0,0.0,0.0,0.0,0.0,1787.9,0.0,0.0,0
1,16,412.95,113,16,1,5.35625,24.95,238,0,238,412.95,113.0,1,0.0042016806722689,1.0,1,1,238.0,238.0,238.0,3.0,1.0,16.0,108.0,304.95,1.0,0.2615328732292045,0
3,13,71.15,29,11,1,3.1884615384615387,9.95,168,5,174,23.71666666666667,9.666666666666666,0,0.0172413793103448,0.9655172413793104,2,1,6.0,6.0,6.0,6.0,1.0,14.0,35.0,36.150000000000006,0.3333333333333333,0.4919184820801124,1
1,1,15.9,2,1,1,7.95,7.95,243,0,243,15.9,2.0,1,0.0041152263374485,1.0,1,1,243.0,243.0,243.0,2.0,1.0,10.0,79.5,-63.6,1.0,5.0,0
3,169,841.16,205,141,1,4.208934911242603,19.95,69,174,244,280.38666666666666,68.33333333333333,0,0.0122950819672131,0.2827868852459016,3,3,87.5,87.5,88.0,1.0,1.0,1.0,8.95,832.2099999999999,0.3333333333333333,0.0106400684768652,1
3,7,217.9,58,6,1,4.564285714285715,7.95,97,91,188,72.63333333333334,19.333333333333332,0,0.0159574468085106,0.5159574468085106,3,3,45.5,45.5,58.0,0.0,0.0,0.0,0.0,217.9,0.0,0.0,1
1,11,408.0,232,11,1,1.731818181818182,2.55,62,0,62,408.0,232.0,1,0.0161290322580645,1.0,1,1,62.0,62.0,62.0,1.0,1.0,5.0,6.25,401.75,1.0,0.0153186274509803,0
1,9,131.25,59,9,1,3.183333333333333,7.65,236,0,236,131.25,59.0,1,0.0042372881355932,1.0,1,1,236.0,236.0,236.0,3.0,1.0,5.0,14.05,117.2,1.0,0.107047619047619,1
4,44,1156.16,582,35,1,4.162954545454546,12.75,78,60,139,289.04,145.5,0,0.0287769784172661,0.5611510791366906,3,2,30.5,30.5,42.0,0.0,0.0,0.0,0.0,1156.16,0.0,0.0,0
2,5,180.06,98,4,1,3.798,12.75,106,145,251,90.03,49.0,0,0.0079681274900398,0.4223107569721115,2,2,145.0,145.0,145.0,0.0,0.0,0.0,0.0,180.06,0.0,0.0,1
5,202,1062.22,912,130,1,1.8689108910891088,14.95,62,140,202,212.444,182.4,0,0.0247524752475247,0.3069306930693069,5,5,35.0,31.5,53.0,3.0,1.0,3.0,5.0,1057.22,0.2,0.0047071228182485,0
4,51,1197.74,510,33,1,4.908627450980393,16.95,54,160,215,299.435,127.5,0,0.0186046511627906,0.2511627906976744,4,4,53.666666666666664,31.0,102.0,0.0,0.0,0.0,0.0,1197.74,0.0,0.0,0
93,2906,70849.35,32773,1244,1,3.9532553337921543,274.2,2,251,253,761.8209677419355,352.39784946236557,0,0.3675889328063241,0.0079051383399209,67,9,3.803030303030303,3.0,20.0,54.0,27.0,180.0,772.8500000000003,70076.5,0.2903225806451613,0.0109083569574032,0
3,34,297.32,143,32,1,3.844411764705882,16.95,2,168,171,99.10666666666668,47.666666666666664,0,0.0175438596491228,0.0116959064327485,3,3,84.5,84.5,90.0,1.0,1.0,1.0,16.95,280.37,0.3333333333333333,0.0570092829274855,0
1,27,155.79,67,27,1,3.892962962962963,9.95,244,0,244,155.79,67.0,1,0.0040983606557377,1.0,1,1,244.0,244.0,244.0,2.0,1.0,48.0,40.8,114.99,1.0,0.2618910071249759,0
1,31,498.96,280,31,1,4.2051612903225815,12.75,37,0,37,498.96,280.0,1,0.027027027027027,1.0,1,1,37.0,37.0,37.0,0.0,0.0,0.0,0.0,498.96,0.0,0.0,1
10,240,2363.46,1457,186,1,2.643125,16.95,10,165,176,236.346,145.7,0,0.0568181818181818,0.0568181818181818,7,6,27.666666666666668,17.5,61.0,6.0,4.0,117.0,131.33,2232.13,0.4,0.055566838448715,0
4,47,596.09,195,42,1,4.586595744680851,19.95,70,21,91,149.0225,48.75,0,0.0439560439560439,0.7692307692307693,2,2,21.0,21.0,21.0,0.0,0.0,0.0,0.0,596.09,0.0,0.0,1
2,31,392.9,121,30,1,4.514516129032257,16.95,164,79,244,196.45,60.5,0,0.0081967213114754,0.6721311475409836,2,2,80.0,80.0,80.0,7.0,1.0,21.0,37.44,355.46,0.5,0.0952914227538813,0
6,266,2596.97,1196,230,1,3.5419924812030072,19.95,14,191,205,432.8283333333333,199.33333333333337,0,0.0292682926829268,0.0682926829268292,6,4,38.2,37.0,71.0,1.0,1.0,2.0,15.9,2581.0699999999997,0.1666666666666666,0.0061225197056569,0
7,78,2618.26,912,54,1,4.002435897435897,10.65,45,194,239,374.0371428571429,130.28571428571428,0,0.0292887029288702,0.1882845188284518,7,6,32.333333333333336,32.0,62.0,12.0,5.0,48.0,177.05,2441.21,0.7142857142857143,0.0676212446433891,0
2,41,258.55,220,41,1,4.198536585365853,29.95,135,0,135,129.275,110.0,0,0.0148148148148148,1.0,1,1,135.0,135.0,135.0,0.0,0.0,0.0,0.0,258.55,0.0,0.0,1
2,13,383.6,344,11,1,1.2807692307692309,4.65,84,90,175,191.8,172.0,0,0.0114285714285714,0.48,2,2,91.0,91.0,91.0,0.0,0.0,0.0,0.0,383.6,0.0,0.0,0
4,73,4784.3,2154,41,1,4.0404109589041095,14.95,14,148,162,1196.075,538.5,0,0.0246913580246913,0.0864197530864197,4,4,49.333333333333336,44.0,75.0,0.0,0.0,0.0,0.0,4784.3,0.0,0.0,0
2,26,550.94,260,26,1,3.775,16.95,44,53,98,275.47,130.0,0,0.0204081632653061,0.4489795918367347,2,2,54.0,54.0,54.0,0.0,0.0,0.0,0.0,550.94,0.0,0.0,0
3,48,683.6700000000001,641,44,1,2.0552083333333333,12.75,34,209,244,227.89,213.66666666666663,0,0.0122950819672131,0.1393442622950819,3,3,105.0,105.0,131.0,1.0,1.0,3.0,14.85,668.82,0.3333333333333333,0.0217210057483873,0
4,235,2360.31,1658,170,1,1.9317872340425533,7.95,57,188,246,590.0775,414.5,0,0.016260162601626,0.2317073170731707,4,4,63.0,63.0,70.0,5.0,2.0,27.0,169.65,2190.66,0.5,0.071876151861408,0
2,46,881.99,311,41,1,3.969565217391304,12.75,91,35,126,440.995,155.5,0,0.0158730158730158,0.7222222222222222,2,2,35.0,35.0,35.0,2.0,1.0,2.0,9.2,872.79,0.5,0.0104309572670891,0
1,20,488.51,253,20,1,2.778,9.95,232,0,232,488.51,253.0,1,0.0043103448275862,1.0,1,1,232.0,232.0,232.0,0.0,0.0,0.0,0.0,488.51,0.0,0.0,0
1,11,329.58,338,11,1,2.1836363636363636,8.95,237,0,237,329.58,338.0,1,0.0042194092827004,1.0,1,1,237.0,237.0,237.0,0.0,0.0,0.0,0.0,329.58,0.0,0.0,1
6,90,2909.12,1893,72,1,2.4024444444444444,12.75,75,177,253,484.8533333333333,315.5,0,0.0237154150197628,0.2964426877470356,5,4,44.5,43.0,78.0,10.0,4.0,28.0,74.20000000000002,2834.92,0.6666666666666666,0.0255059949400506,0
4,57,795.65,225,44,1,5.026140350877193,19.95,80,168,248,198.9125,56.25,0,0.0161290322580645,0.3225806451612903,4,3,56.0,73.0,84.0,0.0,0.0,0.0,0.0,795.65,0.0,0.0,0
1,14,250.26,190,14,1,1.862142857142857,4.95,136,0,136,250.26,190.0,1,0.0073529411764705,1.0,1,1,136.0,136.0,136.0,3.0,1.0,8.0,21.9,228.36,1.0,0.0875089906497243,1
10,287,5189.88,1591,151,1,4.520313588850174,12.75,35,202,238,518.988,159.1,0,0.042016806722689,0.1470588235294117,8,6,29.0,19.0,64.0,3.0,2.0,4.0,33.15,5156.7300000000005,0.2,0.0063874309232583,0
2,12,271.05,107,12,1,3.275,9.95,40,1,42,135.525,53.5,0,0.0476190476190476,0.9523809523809524,2,2,2.0,2.0,2.0,1.0,1.0,3.0,14.85,256.2,0.5,0.054786939679026,1
2,86,367.7,279,78,1,2.4025581395348836,10.75,63,11,75,183.85,139.5,0,0.0266666666666666,0.84,2,2,12.0,12.0,12.0,0.0,0.0,0.0,0.0,367.7,0.0,0.0,0
1,21,431.98,180,21,1,3.74,14.95,240,0,240,431.98,180.0,1,0.0041666666666666,1.0,1,1,240.0,240.0,240.0,0.0,0.0,0.0,0.0,431.98,0.0,0.0,1
2,28,437.08,98,22,1,6.610714285714286,14.95,8,57,66,218.54,49.0,0,0.0303030303030303,0.1212121212121212,2,2,58.0,58.0,58.0,0.0,0.0,0.0,0.0,437.08,0.0,0.0,0
2,12,271.28999999999996,183,12,1,1.7325,4.65,164,28,192,135.64499999999998,91.5,0,0.0104166666666666,0.8541666666666666,2,2,28.0,28.0,28.0,0.0,0.0,0.0,0.0,271.28999999999996,0.0,0.0,1
2,51,492.16,178,51,1,4.932941176470588,39.95,70,22,92,246.08,89.0,0,0.0217391304347826,0.7608695652173914,2,2,22.0,22.0,22.0,0.0,0.0,0.0,0.0,492.16,0.0,0.0,0
2,42,304.17,129,41,1,2.347857142857143,14.95,127,118,245,152.085,64.5,0,0.0081632653061224,0.5183673469387755,2,2,118.0,118.0,118.0,0.0,0.0,0.0,0.0,304.17,0.0,0.0,1
2,12,535.6800000000001,216,11,1,2.7424999999999997,5.95,56,190,247,267.84000000000003,108.0,0,0.0080971659919028,0.2267206477732793,2,2,191.0,191.0,191.0,1.0,1.0,12.0,5.04,530.6400000000001,0.5,0.0094086021505376,0
16,121,3922.87,1617,92,1,3.595206611570248,12.75,15,234,250,245.179375,101.0625,0,0.064,0.06,14,8,18.076923076923077,17.0,47.0,3.0,1.0,10.0,67.5,3855.37,0.0625,0.0172067899267628,0
3,5,1128.72,856,3,1,2.1839999999999997,2.55,105,111,217,376.24,285.3333333333333,0,0.0138248847926267,0.4838709677419355,3,3,56.0,56.0,69.0,0.0,0.0,0.0,0.0,1128.72,0.0,0.0,1
1,26,433.53,231,26,1,3.368076923076923,9.95,133,0,133,433.53,231.0,1,0.0075187969924812,1.0,1,1,133.0,133.0,133.0,1.0,1.0,12.0,19.799999999999997,413.73,1.0,0.0456715798214656,0
1,16,54.22,26,16,1,2.6325,12.75,208,0,208,54.22,26.0,1,0.0048076923076923,1.0,1,1,208.0,208.0,208.0,0.0,0.0,0.0,0.0,54.22,0.0,0.0,1
2,25,407.55,233,20,1,3.116,6.75,236,13,249,203.775,116.5,0,0.0080321285140562,0.9477911646586346,2,1,13.0,13.0,13.0,0.0,0.0,0.0,0.0,407.55,0.0,0.0,0
3,196,1151.44,329,136,1,4.203877551020408,12.75,16,152,169,383.81333333333333,109.66666666666669,0,0.0177514792899408,0.0946745562130177,3,3,76.5,76.5,111.0,0.0,0.0,0.0,0.0,1151.44,0.0,0.0,0
5,40,1015.42,698,35,1,3.919,12.75,63,172,236,203.084,139.6,0,0.0211864406779661,0.2669491525423729,5,4,43.25,46.5,75.0,1.0,1.0,6.0,76.5,938.92,0.2,0.0753382836658722,1
7,216,4024.67,1515,143,1,4.253935185185186,18.95,6,184,190,574.9528571428572,216.42857142857144,0,0.0368421052631578,0.031578947368421,7,6,30.666666666666668,23.5,71.0,5.0,2.0,13.0,26.0,3998.67,0.2857142857142857,0.0064601569818146,0
5,176,1481.39,734,136,1,2.8101704545454544,12.75,10,241,252,296.278,146.8,0,0.0198412698412698,0.0396825396825396,4,4,80.66666666666667,53.0,154.0,0.0,0.0,0.0,0.0,1481.39,0.0,0.0,0
7,167,2424.0,1340,119,1,3.284790419161676,21.95,16,234,251,346.2857142857143,191.42857142857144,0,0.0278884462151394,0.0637450199203187,7,5,39.166666666666664,26.0,96.0,6.0,3.0,18.0,28.8,2395.2,0.4285714285714285,0.0118811881188118,0
23,128,3785.57,1692,77,1,5.04171875,79.95,6,245,251,164.59,73.56521739130434,0,0.0916334661354581,0.0239043824701195,18,8,14.411764705882351,13.0,58.0,10.0,5.0,13.0,74.84,3710.73,0.217391304347826,0.0197698100946488,0
1,32,509.65,143,32,1,6.4378125,15.95,139,0,139,509.65,143.0,1,0.0071942446043165,1.0,1,1,139.0,139.0,139.0,0.0,0.0,0.0,0.0,509.65,0.0,0.0,0
1,42,124.78,86,42,1,1.93,4.95,252,0,252,124.78,86.0,1,0.0039682539682539,1.0,1,1,252.0,252.0,252.0,0.0,0.0,0.0,0.0,124.78,0.0,0.0,1
2,17,432.35,609,14,1,1.2305882352941178,4.95,21,130,152,216.175,304.5,0,0.0131578947368421,0.1381578947368421,2,2,131.0,131.0,131.0,0.0,0.0,0.0,0.0,432.35,0.0,0.0,0
1,33,355.13,188,30,1,3.0245454545454544,9.95,248,0,248,355.13,188.0,1,0.0040322580645161,1.0,1,1,248.0,248.0,248.0,0.0,0.0,0.0,0.0,355.13,0.0,0.0,0
1,18,136.22,100,17,1,1.6527777777777777,4.95,77,0,77,136.22,100.0,1,0.0129870129870129,1.0,1,1,77.0,77.0,77.0,0.0,0.0,0.0,0.0,136.22,0.0,0.0,0
1,16,98.73,121,15,1,2.219375,8.5,136,0,136,98.73,121.0,1,0.0073529411764705,1.0,1,1,136.0,136.0,136.0,0.0,0.0,0.0,0.0,98.73,0.0,0.0,1
6,87,2251.79,979,60,1,5.2043678160919535,79.95,2,157,160,375.29833333333335,163.16666666666666,0,0.0375,0.0125,6,5,31.6,41.0,49.0,4.0,3.0,19.0,46.65,2205.14,0.5,0.0207168519266894,0
3,44,741.3199999999999,688,42,1,1.8413636363636363,7.95,24,158,183,247.10666666666663,229.33333333333337,0,0.0163934426229508,0.1311475409836065,3,3,79.5,79.5,87.0,0.0,0.0,0.0,0.0,741.3199999999999,0.0,0.0,1
3,118,2914.95,921,109,1,4.592796610169492,39.95,92,144,236,971.65,307.0,0,0.0127118644067796,0.3898305084745763,3,3,72.0,72.0,95.0,0.0,0.0,0.0,0.0,2914.95,0.0,0.0,0
1,38,424.03,173,38,1,3.6868421052631577,19.95,250,0,250,424.03,173.0,1,0.004,1.0,1,1,250.0,250.0,250.0,1.0,1.0,1.0,4.25,419.78,1.0,0.010022875739924,1
1,11,166.63,41,11,1,5.935454545454545,16.95,71,0,71,166.63,41.0,1,0.0140845070422535,1.0,1,1,71.0,71.0,71.0,0.0,0.0,0.0,0.0,166.63,0.0,0.0,1
1,6,6.9,6,6,1,1.15,1.65,54,0,54,6.9,6.0,1,0.0185185185185185,1.0,1,1,54.0,54.0,54.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0
3,160,1759.26,915,135,1,2.551,12.75,3,238,241,586.42,305.0,0,0.0124481327800829,0.0124481327800829,3,3,119.0,119.0,147.0,0.0,0.0,0.0,0.0,1759.26,0.0,0.0,0
2,6,207.85,49,6,1,4.55,7.35,248,0,248,103.925,24.5,0,0.0080645161290322,1.0,1,1,248.0,248.0,248.0,0.0,0.0,0.0,0.0,207.85,0.0,0.0,1
3,151,1425.19,550,121,1,3.3701324503311256,12.75,65,186,252,475.06333333333333,183.33333333333337,0,0.0119047619047619,0.2579365079365079,3,3,93.5,93.5,137.0,3.0,2.0,3.0,25.65,1399.54,0.6666666666666666,0.0179976003199573,0
1,2,71.4,12,2,1,5.95,5.95,141,0,141,71.4,12.0,1,0.0070921985815602,1.0,1,1,141.0,141.0,141.0,0.0,0.0,0.0,0.0,71.4,0.0,0.0,1
1,28,466.19,235,28,1,3.94,14.95,187,0,187,466.19,235.0,1,0.0053475935828877,1.0,1,1,187.0,187.0,187.0,0.0,0.0,0.0,0.0,466.19,0.0,0.0,0
4,70,1567.73,883,54,1,3.3004285714285713,14.95,22,216,239,391.9325,220.75,0,0.0167364016736401,0.0920502092050209,3,3,108.5,108.5,159.0,1.0,1.0,2.0,25.5,1542.23,0.25,0.0162655559311871,0
3,20,433.96,208,20,1,4.146,12.75,97,58,156,144.65333333333334,69.33333333333333,0,0.0192307692307692,0.6217948717948718,2,2,59.0,59.0,59.0,0.0,0.0,0.0,0.0,433.96,0.0,0.0,0
3,18,330.77,159,12,1,3.2033333333333336,8.95,163,72,236,110.25666666666666,53.0,0,0.0127118644067796,0.690677966101695,3,3,36.5,36.5,42.0,2.0,1.0,4.0,12.7,318.07,0.3333333333333333,0.038395259545908,0
3,16,269.7,138,16,1,2.075,2.95,17,26,43,89.89999999999999,46.0,0,0.0697674418604651,0.3953488372093023,3,2,13.0,13.0,16.0,0.0,0.0,0.0,0.0,269.7,0.0,0.0,0
2,40,648.71,539,33,1,2.23675,9.95,135,113,249,324.355,269.5,0,0.0080321285140562,0.5421686746987951,2,2,114.0,114.0,114.0,0.0,0.0,0.0,0.0,648.71,0.0,0.0,0
1,2,153.24,84,2,1,2.02,3.39,17,0,17,153.24,84.0,1,0.0588235294117647,1.0,1,1,17.0,17.0,17.0,0.0,0.0,0.0,0.0,153.24,0.0,0.0,1
1,1,6.300000000000001,3,1,1,2.1,2.1,49,0,49,6.300000000000001,3.0,1,0.0204081632653061,1.0,1,1,49.0,49.0,49.0,0.0,0.0,0.0,0.0,6.300000000000001,0.0,0.0,1
8,333,2287.1,1747,254,1,2.3879279279279277,19.95,52,197,250,285.8875,218.375,0,0.032,0.208,8,5,28.285714285714285,38.0,57.0,1.0,1.0,1.0,12.75,2274.35,0.125,0.0055747453106554,0
5,59,2565.55,1193,44,1,3.9559322033898305,12.75,5,119,125,513.11,238.6,0,0.04,0.04,4,4,40.0,32.0,63.0,0.0,0.0,0.0,0.0,2565.55,0.0,0.0,0
3,72,793.62,518,68,1,3.717222222222222,16.95,80,166,247,264.54,172.66666666666666,0,0.0121457489878542,0.3238866396761133,3,3,83.5,83.5,89.0,1.0,1.0,1.0,9.95,783.67,0.3333333333333333,0.0125374864544744,0
1,48,672.93,807,48,1,2.2929166666666667,9.95,12,0,12,672.93,807.0,1,0.0833333333333333,1.0,1,1,12.0,12.0,12.0,0.0,0.0,0.0,0.0,672.93,0.0,0.0,0
11,453,2794.9,1354,262,1,3.2009492273730684,19.95,34,213,247,254.0818181818182,123.0909090909091,0,0.0445344129554655,0.1376518218623481,9,8,26.625,27.0,42.0,6.0,4.0,9.0,38.02,2756.88,0.3636363636363636,0.0136033489570288,0
1,13,906.23,665,13,1,3.23923076923077,10.95,218,0,218,906.23,665.0,1,0.0045871559633027,1.0,1,1,218.0,218.0,218.0,0.0,0.0,0.0,0.0,906.23,0.0,0.0,1
1,17,127.65,47,17,1,3.1029411764705883,8.5,136,0,136,127.65,47.0,1,0.0073529411764705,1.0,1,1,136.0,136.0,136.0,0.0,0.0,0.0,0.0,127.65,0.0,0.0,1
5,131,1527.08,769,112,1,2.5009923664122136,19.95,1,177,178,305.416,153.8,0,0.0280898876404494,0.0056179775280898,3,3,88.5,88.5,127.0,2.0,2.0,2.0,12.2,1514.88,0.4,0.0079891033868559,0
3,19,389.04,674,18,1,1.5947368421052632,7.95,101,137,239,129.68,224.66666666666663,0,0.0125523012552301,0.4225941422594142,3,3,69.0,69.0,82.0,2.0,1.0,34.0,32.9,356.14000000000004,0.3333333333333333,0.0845671396257454,0
1,59,435.66,126,58,1,4.23593220338983,21.95,125,0,125,435.66,126.0,1,0.008,1.0,1,1,125.0,125.0,125.0,0.0,0.0,0.0,0.0,435.66,0.0,0.0,0
1,4,222.96,552,4,1,1.0075,1.65,146,0,146,222.96,552.0,1,0.0068493150684931,1.0,1,1,146.0,146.0,146.0,0.0,0.0,0.0,0.0,222.96,0.0,0.0,1
4,27,6695.6900000000005,302,24,1,7.573333333333334,34.95,23,94,117,1673.9225,75.5,0,0.0341880341880341,0.1965811965811965,3,2,47.0,47.0,84.0,2.0,2.0,93.0,3250.3500000000004,3445.34,0.5,0.4854391407009584,1
8,197,2525.15,2265,156,1,2.12994923857868,12.75,16,139,156,315.64375,283.125,0,0.0512820512820512,0.1025641025641025,7,5,23.333333333333332,19.5,38.0,2.0,1.0,10.0,25.5,2499.65,0.125,0.0100984099954458,0
1,12,321.88000000000005,180,12,1,1.971666666666667,5.45,233,0,233,321.88000000000005,180.0,1,0.0042918454935622,1.0,1,1,233.0,233.0,233.0,0.0,0.0,0.0,0.0,321.88000000000005,0.0,0.0,1
2,38,682.37,201,35,1,4.755526315789474,12.75,14,237,251,341.185,100.5,0,0.0079681274900398,0.0557768924302788,2,2,237.0,237.0,237.0,5.0,1.0,13.0,57.23,625.14,0.5,0.0838694549877632,0
5,10,643.84,496,2,1,1.332,1.65,3,195,199,128.768,99.2,0,0.0251256281407035,0.0150753768844221,5,5,49.0,50.0,57.0,0.0,0.0,0.0,0.0,643.84,0.0,0.0,0
13,336,6131.5,4390,121,1,2.423125,12.75,17,235,253,471.65384615384613,337.6923076923077,0,0.0513833992094861,0.067193675889328,10,7,26.22222222222222,24.0,45.0,4.0,2.0,6.0,9.7,6121.8,0.1538461538461538,0.0015819946179564,0
2,44,492.84,377,32,1,2.1025,8.5,78,55,134,246.42,188.5,0,0.0149253731343283,0.582089552238806,2,2,56.0,56.0,56.0,0.0,0.0,0.0,0.0,492.84,0.0,0.0,0
17,164,2601.81,776,102,1,3.960670731707317,12.75,14,233,247,153.04764705882351,45.64705882352941,0,0.068825910931174,0.0566801619433198,17,8,14.5625,14.0,38.0,9.0,6.0,15.0,90.95,2510.86,0.3529411764705882,0.0349564341746707,0
1,48,815.79,543,48,1,3.4029166666666666,49.95,161,0,161,815.79,543.0,1,0.0062111801242236,1.0,1,1,161.0,161.0,161.0,0.0,0.0,0.0,0.0,815.79,0.0,0.0,1
1,29,119.5,40,29,1,3.3982758620689655,14.95,20,0,20,119.5,40.0,1,0.05,1.0,1,1,20.0,20.0,20.0,0.0,0.0,0.0,0.0,119.5,0.0,0.0,1
7,38,644.95,465,27,1,4.483947368421053,12.75,9,124,134,92.13571428571429,66.42857142857143,0,0.0522388059701492,0.0671641791044776,7,5,20.833333333333332,19.0,38.0,5.0,2.0,9.0,58.05,586.9000000000001,0.2857142857142857,0.0900069772850608,0
1,66,449.24,150,65,1,4.577878787878788,14.95,103,0,103,449.24,150.0,1,0.0097087378640776,1.0,1,1,103.0,103.0,103.0,0.0,0.0,0.0,0.0,449.24,0.0,0.0,0
4,7,566.6999999999999,218,3,1,4.0928571428571425,7.95,233,18,252,141.67499999999998,54.5,0,0.0158730158730158,0.9246031746031746,3,1,9.5,9.5,11.0,1.0,1.0,32.0,81.6,485.0999999999999,0.25,0.1439915299100053,0
8,124,3316.51,1432,103,1,3.9099193548387094,16.95,85,131,216,414.56375,179.0,0,0.037037037037037,0.3935185185185185,7,5,21.833333333333332,22.5,33.0,0.0,0.0,0.0,0.0,3316.51,0.0,0.0,0
2,60,1322.04,1578,30,1,1.1136666666666666,8.5,34,0,34,661.02,789.0,0,0.0588235294117647,1.0,1,1,34.0,34.0,34.0,0.0,0.0,0.0,0.0,1322.04,0.0,0.0,1
1,16,10877.18,17766,16,1,0.65625,1.25,79,0,79,10877.18,17766.0,1,0.0126582278481012,1.0,1,1,79.0,79.0,79.0,0.0,0.0,0.0,0.0,10877.18,0.0,0.0,1
12,90,7628.04,3212,69,1,4.347,19.95,12,239,252,635.67,267.6666666666667,0,0.0476190476190476,0.0476190476190476,10,5,26.666666666666668,16.0,90.0,2.0,1.0,28.0,152.6,7475.44,0.0833333333333333,0.0200051389347722,0
